time,temperature_2m (°C),apparent_temperature (°C),rain (mm),showers (mm),cloud_cover (%),sunshine_duration (s)
2025-08-24T21:00,20.3,19.0,0.00,0.00,65,0.00
2025-08-24T22:00,19.4,18.6,0.00,0.00,67,0.00
2025-08-24T23:00,18.5,18.0,0.00,0.00,80,0.00
2025-08-25T00:00,17.7,17.2,0.00,0.00,65,0.00
2025-08-25T01:00,16.9,16.4,0.00,0.00,58,0.00
2025-08-25T02:00,16.3,15.8,0.00,0.00,13,0.00
2025-08-25T03:00,15.7,15.4,0.00,0.00,34,0.00
2025-08-25T04:00,15.1,15.1,0.00,0.00,17,0.00
2025-08-25T05:00,14.8,14.9,0.00,0.00,31,0.00
2025-08-25T06:00,14.6,14.6,0.00,0.00,0,0.00
2025-08-25T07:00,14.4,14.6,0.00,0.00,0,1027.72
2025-08-25T08:00,15.6,15.6,0.00,0.00,6,3600.00
2025-08-25T09:00,17.5,17.2,0.00,0.00,0,3600.00
2025-08-25T10:00,19.8,18.7,0.00,0.00,0,3600.00
2025-08-25T11:00,21.8,20.3,0.00,0.00,0,3600.00
2025-08-25T12:00,23.1,21.8,0.00,0.00,0,3600.00
2025-08-25T13:00,24.6,23.5,0.00,0.00,0,3600.00
2025-08-25T14:00,25.3,23.9,0.00,0.00,0,3600.00
2025-08-25T15:00,25.7,24.2,0.00,0.00,0,3600.00
2025-08-25T16:00,26.3,24.0,0.00,0.00,79,3600.00
2025-08-25T17:00,26.1,23.3,0.00,0.00,0,3600.00
2025-08-25T18:00,25.6,22.8,0.00,0.00,0,3600.00
2025-08-25T19:00,24.8,21.9,0.00,0.00,0,3600.00
2025-08-25T20:00,23.5,20.8,0.00,0.00,0,1664.38
2025-08-25T21:00,22.1,20.1,0.00,0.00,0,0.00
2025-08-25T22:00,20.3,19.1,0.00,0.00,81,0.00
2025-08-25T23:00,19.2,18.7,0.00,0.00,0,0.00
2025-08-26T00:00,18.5,17.9,0.00,0.00,0,0.00
2025-08-26T01:00,18.0,17.3,0.00,0.00,94,0.00
2025-08-26T02:00,17.7,17.1,0.00,0.00,6,0.00
2025-08-26T03:00,17.6,17.0,0.00,0.00,100,0.00
2025-08-26T04:00,17.2,16.8,0.00,0.00,91,0.00
2025-08-26T05:00,17.5,17.8,0.00,0.00,100,0.00
2025-08-26T06:00,17.7,17.9,0.00,0.00,100,0.00
2025-08-26T07:00,17.4,17.9,0.00,0.00,96,0.00
2025-08-26T08:00,18.6,18.6,0.00,0.00,86,2269.46
2025-08-26T09:00,19.6,19.1,0.00,0.00,66,3600.00
2025-08-26T10:00,20.3,19.8,0.00,0.00,91,3600.00
2025-08-26T11:00,22.6,22.1,0.00,0.00,90,3600.00
2025-08-26T12:00,22.8,22.2,0.00,0.00,100,82.32
2025-08-26T13:00,20.4,20.2,0.00,0.00,100,0.00
2025-08-26T14:00,21.9,21.2,0.00,0.00,39,3600.00
2025-08-26T15:00,23.5,22.1,0.00,0.00,100,3600.00
2025-08-26T16:00,24.3,22.8,0.00,0.00,100,3600.00
2025-08-26T17:00,24.7,23.1,0.00,0.00,100,3600.00
2025-08-26T18:00,24.3,22.4,0.00,0.00,100,341.65
2025-08-26T19:00,22.3,20.9,0.00,0.00,100,101.73
2025-08-26T20:00,21.3,20.1,0.00,0.00,100,0.00
2025-08-26T21:00,20.3,19.3,0.00,0.00,100,0.00
2025-08-26T22:00,19.4,18.5,0.00,0.00,100,0.00
2025-08-26T23:00,18.7,17.7,0.00,0.00,100,0.00
